"id";"latitude";"longitude";"name";"light";"number";"address";"activate";"no_available";"total_bases";"dock_bikes";"free_bases";"reservations_count";"district";"neighborhood";"startDate"
85;"40.4074902";"-3.6901234";"Atocha B";2;"80b";"Paseo de la Infanta Isabel nº 3";1;0;27;13;10;0;"03  RETIRO";"03-05 JERÓNIMOS";2014-06-23
86;"40.4092970";"-3.6919870";"Cuesta de Moyano";2;"81";"Plaza del Emperador Carlos V nº 11";1;0;24;10;9;0;"03  RETIRO";"03-05 JERÓNIMOS";2014-06-23
87;"40.4084556";"-3.6697526";"Niño Jesús";0;"82";"Calle Doctor Esquerdo nº 161";1;0;24;2;21;0;"03  RETIRO";"03-03 ESTRELLA";2014-06-23
88;"40.4130243";"-3.6751105";"Pío Baroja";2;"83";"Calle Pío Baroja nº 10";1;0;24;14;10;0;"03  RETIRO";"03-06 NIÑO JESÚS";2014-06-23
89;"40.4032501";"-3.6726019";"Valderribas";2;"84";"Calle Doctor Esquerdo nº 191";1;0;24;13;10;0;"03  RETIRO";"03-02 ADELFAS";2014-06-23
90;"40.4215010";"-3.6800080";"Puerta de Madrid";1;"85";"Avenida de Menéndez Pelayo nº 11";1;0;27;20;7;0;"03  RETIRO";"03-05 JERÓNIMOS";2014-06-23
91;"40.4186148";"-3.6926217";"Cibeles";2;"86";"Paseo del Prado nº 1";1;0;21;13;6;0;"01  CENTRO";"01-03 CORTES";2014-09-22
92;"40.4277360";"-3.6832566";"Ayala";2;"87";"Calle Ayala nº 44";1;0;24;13;9;0;"04  SALAMANCA";"04-01 RECOLETOS";2014-06-23
93;"40.4313576";"-3.6838303";"Embajada de Italia";2;"88";"Calle Velázquez nº 75";1;0;24;14;8;0;"04  SALAMANCA";"04-06 CASTELLANA";2014-06-23
94;"40.4272582";"-3.6752024";"Conde Peñalver";2;"89";"Calle Ayala nº 102";1;0;24;12;10;0;"04  SALAMANCA";"04-02 GOYA";2014-06-23
95;"40.4250361";"-3.6837876";"General Pardiñas";2;"90";"Calle Goya nº 18";1;0;30;19;9;0;"04  SALAMANCA";"04-01 RECOLETOS";2014-06-23
96;"40.4261340";"-3.6787441";"Príncipe de Vergara";0;"91";"Calle Hermosilla nº 70";1;0;24;7;16;0;"04  SALAMANCA";"04-02 GOYA";2014-06-23
97;"40.4262945";"-3.6865463";"Claudio Coello";1;"92";"Calle Claudio Coello nº 45";1;0;24;20;1;0;"04  SALAMANCA";"04-01 RECOLETOS";2014-06-23
98;"40.4257046";"-3.6893698";"Plaza de Colón";2;"93";"Calle Goya nº 1";1;0;24;12;10;0;"04  SALAMANCA";"04-01 RECOLETOS";2014-06-23
99;"40.4226990";"-3.6909648";"Biblioteca Nacional";0;"94";"Paseo de Recoletos nº 32-34";1;0;21;3;18;0;"04  SALAMANCA";"04-01 RECOLETOS";2014-06-23
100;"40.4226584";"-3.6870548";"Villanueva";0;"95";"Calle Claudio Coello nº 109";1;0;24;7;17;0;"04  SALAMANCA";"04-01 RECOLETOS";2014-06-23
101;"40.4220640";"-3.6821793";"Castelló";2;"96";"Calle Alcalá nº 111";1;0;27;11;15;0;"04  SALAMANCA";"04-01 RECOLETOS";2014-06-23
102;"40.4226906";"-3.6801307";"Alcalá";2;"97";"Avenida de Menéndez Pelayo nº 3";1;0;27;11;15;0;"04  SALAMANCA";"04-02 GOYA";2014-06-23
