day,hour,temperature,rain_mm3,rain,windspeed
2018-09-07,12,23.7,0,0,2.5
2018-09-07,13,25.2,0,0,2.5
2018-09-07,14,26.3,0,0,2.5
2018-09-07,15,29.1,0,0,2.5
2018-09-07,16,29.5,0,0,2.5
2018-09-07,17,28.5,0,0,2.5
2018-09-07,18,27.8,0,0,2.5
2018-09-07,19,28,0,0,2.5
2018-09-07,20,25.9,0,0,2.5
2018-09-07,21,18.3,0.5,1,2.5
2018-09-07,22,20.9,0,0,2.5
2018-09-07,23,20.5,0,0,2.5
2018-09-08,00,20.6,0,0,1.55
2018-09-08,01,20.2,0,0,1.55
2018-09-08,02,19.5,0,0,1.55
2018-09-08,03,18.7,0,0,1.55
2018-09-08,04,18.8,0,0,1.55
2018-09-08,05,18.4,0,0,1.55
2018-09-08,06,18.3,0,0,1.55
2018-09-08,07,17.8,0,0,1.55
2018-09-08,08,17.7,0,0,1.55
2018-09-08,09,18.3,0,0,1.55
2018-09-08,10,20,0,0,1.55
2018-09-08,11,19.8,0,0,1.55
2018-09-08,12,20.1,0,0,1.55
2018-09-08,13,20.5,0.5,1,1.55
2018-09-08,14,20.7,0.2,1,1.55
2018-09-08,15,21.9,0.4,1,1.55
2018-09-08,16,21.4,0,0,1.55
2018-09-08,17,20.7,0.3,1,1.55
2018-09-08,18,20,0.3,1,1.55
2018-09-08,19,20,0,0,1.55
2018-09-08,20,20.1,0,0,1.55
2018-09-08,21,18.5,0,0,1.55
2018-09-08,22,17.6,0,0,1.55
2018-09-08,23,16.8,0,0,1.55
2018-09-09,00,16.3,0,0,0.7
2018-09-09,01,15.4,0,0,0.7
2018-09-09,02,15.1,0,0,0.7
2018-09-09,03,15.1,0,0,0.7
2018-09-09,04,14.3,0,0,0.7
2018-09-09,05,14.2,0,0,0.7
2018-09-09,06,14.4,0,0,0.7
2018-09-09,07,13.5,0,0,0.7
2018-09-09,08,13.1,0,0,0.7
2018-09-09,09,15.3,0,0,0.7
2018-09-09,10,20,0,0,0.7
2018-09-09,11,20.8,0,0,0.7
2018-09-09,12,23.5,0,0,0.7
2018-09-09,13,24.5,0,0,0.7
2018-09-09,14,26.4,0,0,0.7
2018-09-09,15,27.9,0,0,0.7
2018-09-09,16,27.8,0,0,0.7
2018-09-09,17,28.4,0,0,0.7
2018-09-09,18,28.7,0,0,0.7
2018-09-09,19,28,0,0,0.7
2018-09-09,20,25.8,0,0,0.7
2018-09-09,21,23.5,0,0,0.7
2018-09-09,22,21.8,0,0,0.7
2018-09-09,23,22.5,0,0,0.7
2018-09-10,00,22.7,0,0,1.8
2018-09-10,01,21.7,0,0,1.8
2018-09-10,02,21,0,0,1.8
2018-09-10,03,19.4,0,0,1.8
2018-09-10,04,18.2,0,0,1.8
2018-09-10,05,16.3,0,0,1.8
2018-09-10,06,15.3,0,0,1.8
2018-09-10,07,16,0,0,1.8
2018-09-10,08,15.4,0,0,1.8
2018-09-10,09,17.2,0,0,1.8
2018-09-10,10,21.6,0,0,1.8
2018-09-10,11,23.1,0,0,1.8
2018-09-10,12,25.2,0,0,1.8
2018-09-10,13,26.1,0,0,1.8
2018-09-10,14,26.7,0,0,1.8
2018-09-10,15,26.5,0,0,1.8
2018-09-10,16,28.6,0,0,1.8
2018-09-10,17,28.1,0,0,1.8
2018-09-10,18,26.8,0,0,1.8
2018-09-10,19,26.1,0,0,1.8
2018-09-10,20,26.1,0,0,1.8
2018-09-10,21,24.6,0,0,1.8
2018-09-10,22,22.8,0,0,1.8
2018-09-10,23,21.9,0,0,1.8
2018-09-11,00,20.3,0,0,1.8
2018-09-11,01,19.1,0,0,1.8
2018-09-11,02,18.5,0,0,1.8
2018-09-11,03,18.3,0,0,1.8
2018-09-11,04,17.3,0,0,1.8
2018-09-11,05,16.3,0,0,1.8
2018-09-11,06,15.6,0,0,1.8
2018-09-11,07,15,0,0,1.8
2018-09-11,08,15.1,0,0,1.8
2018-09-11,09,16.1,0,0,1.8
2018-09-11,10,22,0,0,1.8
2018-09-11,11,24,0,0,1.8
2018-09-11,12,24.9,0,0,1.8
2018-09-11,13,26.2,0,0,1.8
2018-09-11,14,27.1,0,0,1.8
2018-09-11,15,27.4,0,0,1.8
2018-09-11,16,28.9,0,0,1.8
2018-09-11,17,29.1,0,0,1.8
2018-09-11,18,28.1,0,0,1.8
2018-09-11,19,27.6,0,0,1.8
2018-09-11,20,26.7,0,0,1.8
2018-09-11,21,24.1,0,0,1.8
2018-09-11,22,22.9,0,0,1.8
2018-09-11,23,22.4,0,0,1.8
2018-09-12,00,21.5,0,0,0.45
2018-09-12,01,20.5,0,0,0.45
2018-09-12,02,20.2,0,0,0.45
2018-09-12,03,20.6,0,0,0.45
2018-09-12,04,19.7,0,0,0.45
2018-09-12,05,18.3,0,0,0.45
2018-09-12,06,17.4,0,0,0.45
2018-09-12,07,16.9,0,0,0.45
2018-09-12,08,16.9,0,0,0.45
2018-09-12,09,18.6,0,0,0.45
2018-09-12,10,21.5,0,0,0.45
2018-09-12,11,23.6,0,0,0.45
2018-09-12,12,24.8,0,0,0.45
2018-09-12,13,25.9,0,0,0.45
2018-09-12,14,27.7,0,0,0.45
2018-09-12,15,28.7,0,0,0.45
2018-09-12,16,30.2,0,0,0.45
2018-09-12,17,28.7,0,0,0.45
2018-09-12,18,30.9,0,0,0.45
2018-09-12,19,29.4,0,0,0.45
2018-09-12,20,28.4,0,0,0.45
2018-09-12,21,24.4,0,0,0.45
2018-09-12,22,22.4,0,0,0.45
2018-09-12,23,21.9,0,0,0.45
2018-09-13,00,21.2,0,0,0.7
2018-09-13,01,20.3,0,0,0.7
2018-09-13,02,19.1,0,0,0.7
2018-09-13,03,18.7,0,0,0.7
2018-09-13,04,18.7,0,0,0.7
2018-09-13,05,18.1,0,0,0.7
2018-09-13,06,16.9,0,0,0.7
2018-09-13,07,16,0,0,0.7
2018-09-13,08,15.6,0,0,0.7
2018-09-13,09,17.3,0,0,0.7
2018-09-13,10,22.3,0,0,0.7
2018-09-13,11,25.3,0,0,0.7
2018-09-13,12,26.7,0,0,0.7
2018-09-13,13,28.6,0,0,0.7
2018-09-13,14,30.9,0,0,0.7
2018-09-13,15,31.9,0,0,0.7
2018-09-13,16,32.4,0,0,0.7
2018-09-13,17,32.4,0,0,0.7
2018-09-13,18,31.9,0,0,0.7
2018-09-13,19,30.9,0,0,0.7
2018-09-13,20,30.1,0,0,0.7
2018-09-13,21,27.4,0,0,0.7
2018-09-13,22,25.2,0,0,0.7
2018-09-13,23,23.2,0,0,0.7
2018-09-14,00,25.6,0,0,1
2018-09-14,01,25.2,0,0,1
2018-09-14,02,24.1,0,0,1
2018-09-14,03,21.5,0,0,1
2018-09-14,04,19.3,0,0,1
2018-09-14,05,19.4,0,0,1
2018-09-14,06,19.3,0,0,1
2018-09-14,07,18.7,0,0,1
2018-09-14,08,18.2,0,0,1
2018-09-14,09,20.5,0,0,1
2018-09-14,10,23.6,0,0,1
2018-09-14,11,24.4,0,0,1
2018-09-14,12,26.7,0,0,1
2018-09-14,13,28.2,0,0,1
2018-09-14,14,29.8,0,0,1
2018-09-14,15,30.2,0,0,1
2018-09-14,16,32,0,0,1
2018-09-14,17,33.4,0,0,1
2018-09-14,18,32.3,0,0,1
2018-09-14,19,30.6,0,0,1
2018-09-14,20,29.7,0,0,1
2018-09-14,21,26.6,0,0,1
2018-09-14,22,25.4,0,0,1
2018-09-14,23,24,0,0,1
2018-09-15,00,25.7,0,0,0.8
2018-09-15,01,24.8,0,0,0.8
2018-09-15,02,23.9,0,0,0.8
2018-09-15,03,23.1,0,0,0.8
2018-09-15,04,21.9,0,0,0.8
2018-09-15,05,20.8,0,0,0.8
2018-09-15,06,20.6,0,0,0.8
2018-09-15,07,20.1,0,0,0.8
2018-09-15,08,19.7,0,0,0.8
2018-09-15,09,21.2,0,0,0.8
2018-09-15,10,23.3,0,0,0.8
2018-09-15,11,25.1,0,0,0.8
2018-09-15,12,26.2,0,0,0.8
2018-09-15,13,27.2,0,0,0.8
2018-09-15,14,27.9,0,0,0.8
2018-09-15,15,29.1,0,0,0.8
2018-09-15,16,29.4,0,0,0.8
2018-09-15,17,29.8,0,0,0.8
2018-09-15,18,30,0,0,0.8
2018-09-15,19,29.6,0,0,0.8
2018-09-15,20,28.3,0,0,0.8
2018-09-15,21,25.2,0,0,0.8
2018-09-15,22,23.8,0,0,0.8
2018-09-15,23,22.8,0,0,0.8
2018-09-16,00,22.6,0,0,0.6
2018-09-16,01,20.5,0,0,0.6
